Body,Bot classification
"@leredirect You're the man! Great temporary solution. Thanks a lot. Also had a crank at it but put it on hold due to timing, but this came in clutch!",Mentoring
"@leredirect do you also have the bug in a scroll view inside the sheet that when you try to dismiss it quickly it does not work, opposed to when there is no scroll view it does? Just wondering if you already have a fix - happy to contribute as well!",Mentoring
"@bschrdr pls lets continue conversation here https://github.com/leredirect/custom_cupertino_sheet_demo
feel free to left an issue or pr",Not mentoring
Working on this issue now. I'm looking into refactoring some logic out of [DraggableScrollableSheet](https://api.flutter.dev/flutter/widgets/DraggableScrollableSheet-class.html) and using that for the Cupertino sheet so they share that code. That may turn into a design doc.,Mentoring
"Don't know if it helps, but I added a cupertino sheet to my experimental sheet library too, and I think it feels a bit more native: https://pub.dev/packages/stupid_simple_sheet/versions/0.3.0-dev.3

Partly because it supports scrolling and dragging (with a crazy but surprisingly effective hack), and partly because all the interactions and animations use physics simulations. It might be helpful, it might not, but I wanted to share it here!

https://github.com/user-attachments/assets/eebacfff-c517-4e37-b311-872583b92b80",Mentoring
"Hello @MitchellGoodwin ! Do you have any update on this?
The gist from @leredirect @bschrdr works well but it has this issue: https://github.com/flutter/flutter/issues/167943",Mentoring
"the same issue on HuaWei.
E/ExoPlayerImplInternal(17988): Playback error
[        ] E/ExoPlayerImplInternal(17988):   androidx.media3.exoplayer.ExoPlaybackException: MediaCodecVideoRenderer error, index=0, format=Format(1, null, null, video/avc, avc1.64001F, -1, null, [448, 640, 25.0, ColorInfo(BT709, Limited range, SDR SMPTE 170M, false, 8bit Luma, 8bit Chroma)], [-1, -1]), format_supported=YES
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.ExoPlayerImplInternal.handleMessage(ExoPlayerImplInternal.java:640)
[        ] E/ExoPlayerImplInternal(17988):       at android.os.Handler.dispatchMessage(Handler.java:106)
[        ] E/ExoPlayerImplInternal(17988):       at android.os.Looper.loop(Looper.java:219)
[        ] E/ExoPlayerImplInternal(17988):       at android.os.HandlerThread.run(HandlerThread.java:67)
[        ] E/ExoPlayerImplInternal(17988):   Caused by: androidx.media3.exoplayer.video.MediaCodecVideoDecoderException: Decoder failed: OMX.hisi.video.decoder.avc
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.video.MediaCodecVideoRenderer.createDecoderException(MediaCodecVideoRenderer.java:1982)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.render(MediaCodecRenderer.java:893)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.video.MediaCodecVideoRenderer.render(MediaCodecVideoRenderer.java:1018)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.ExoPlayerImplInternal.doSomeWork(ExoPlayerImplInternal.java:1136)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.ExoPlayerImplInternal.handleMessage(ExoPlayerImplInternal.java:561)
[        ] E/ExoPlayerImplInternal(17988):       ... 3 more
[        ] E/ExoPlayerImplInternal(17988):   Caused by: java.lang.IllegalStateException
[        ] E/ExoPlayerImplInternal(17988):       at android.media.MediaCodec.native_dequeueOutputBuffer(Native Method)
[        ] E/ExoPlayerImplInternal(17988):       at android.media.MediaCodec.dequeueOutputBuffer(MediaCodec.java:2789)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.mediacodec.SynchronousMediaCodecAdapter.dequeueOutputBufferIndex(SynchronousMediaCodecAdapter.java:108)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.drainOutputBuffer(MediaCodecRenderer.java:1994)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.render(MediaCodecRenderer.java:873)
[        ] E/ExoPlayerImplInternal(17988):       ... 6 more
[   +1 ms] E/ExoPlayerImplInternal(17988): Disable failed.
[        ] E/ExoPlayerImplInternal(17988):   java.lang.IllegalStateException
[        ] E/ExoPlayerImplInternal(17988):       at android.media.MediaCodec.native_flush(Native Method)
[        ] E/ExoPlayerImplInternal(17988):       at android.media.MediaCodec.flush(MediaCodec.java:2194)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.mediacodec.SynchronousMediaCodecAdapter.flush(SynchronousMediaCodecAdapter.java:168)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.flushCodec(MediaCodecRenderer.java:960)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.flushOrReleaseCodec(MediaCodecRenderer.java:953)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.onDisabled(MediaCodecRenderer.java:780)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.video.MediaCodecVideoRenderer.onDisabled(MediaCodecVideoRenderer.java:794)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.BaseRenderer.disable(BaseRenderer.java:220)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.ExoPlayerImplInternal.disableRenderer(ExoPlayerImplInternal.java:1846)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.ExoPlayerImplInternal.resetInternal(ExoPlayerImplInternal.java:1566)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.ExoPlayerImplInternal.stopInternal(ExoPlayerImplInternal.java:1523)
[        ] E/ExoPlayerImplInternal(17988):       at androidx.media3.exoplayer.ExoPlayerImplInternal.handleMessage(ExoPlayerImplInternal.java:686)
[        ] E/ExoPlayerImplInternal(17988):       at android.os.Handler.dispatchMessage(Handler.java:106)
[        ] E/ExoPlayerImplInternal(17988):       at android.os.Looper.loop(Looper.java:219)
[        ] E/ExoPlayerImplInternal(17988):       at android.os.HandlerThread.run(HandlerThread.java:67)",Not mentoring
"flutter run --no-enable-impeller
disable impeller, this error still exists。

Video codec error
E/MediaCodecVideoRenderer(27664):   java.lang.IllegalStateException
E/MediaCodecVideoRenderer(27664):       at android.media.MediaCodec.native_dequeueInputBuffer(Native Method)
E/MediaCodecVideoRenderer(27664):       at android.media.MediaCodec.dequeueInputBuffer(MediaCodec.java:2726)
E/MediaCodecVideoRenderer(27664):       at androidx.media3.exoplayer.mediacodec.SynchronousMediaCodecAdapter.dequeueInputBufferIndex(SynchronousMediaCodecAdapter.java:101)
E/MediaCodecVideoRenderer(27664):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.feedInputBuffer(MediaCodecRenderer.java:1316)
E/MediaCodecVideoRenderer(27664):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.render(MediaCodecRenderer.java:875)
E/MediaCodecVideoRenderer(27664):       at androidx.media3.exoplayer.video.MediaCodecVideoRenderer.render(MediaCodecVideoRenderer.java:1018)
E/MediaCodecVideoRenderer(27664):       at androidx.media3.exoplayer.ExoPlayerImplInternal.doSomeWork(ExoPlayerImplInternal.java:1136)
E/MediaCodecVideoRenderer(27664):       at androidx.media3.exoplayer.ExoPlayerImplInternal.handleMessage(ExoPlayerImplInternal.java:561)
E/MediaCodecVideoRenderer(27664):       at android.os.Handler.dispatchMessage(Handler.java:106)
E/MediaCodecVideoRenderer(27664):       at android.os.Looper.loop(Looper.java:219)
E/MediaCodecVideoRenderer(27664):       at android.os.HandlerThread.run(HandlerThread.java:67)


Playback error
E/ExoPlayerImplInternal(27664):   androidx.media3.exoplayer.ExoPlaybackException: MediaCodecVideoRenderer error, index=0, format=Format(1, null, null, video/avc, avc1.640015, -1, null, [384, 384, 30.0, ColorInfo(BT601, Limited range, SDR SMPTE 170M, false, 8bit Luma, 8bit Chroma)], [-1, -1]), format_supported=YES
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.ExoPlayerImplInternal.handleMessage(ExoPlayerImplInternal.java:640)
E/ExoPlayerImplInternal(27664):       at android.os.Handler.dispatchMessage(Handler.java:106)
E/ExoPlayerImplInternal(27664):       at android.os.Looper.loop(Looper.java:219)
E/ExoPlayerImplInternal(27664):       at android.os.HandlerThread.run(HandlerThread.java:67)
E/ExoPlayerImplInternal(27664):   Caused by: androidx.media3.exoplayer.video.MediaCodecVideoDecoderException: Decoder failed: OMX.hisi.video.decoder.avc
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.video.MediaCodecVideoRenderer.createDecoderException(MediaCodecVideoRenderer.java:1982)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.render(MediaCodecRenderer.java:893)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.video.MediaCodecVideoRenderer.render(MediaCodecVideoRenderer.java:1018)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.ExoPlayerImplInternal.doSomeWork(ExoPlayerImplInternal.java:1136)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.ExoPlayerImplInternal.handleMessage(ExoPlayerImplInternal.java:561)
E/ExoPlayerImplInternal(27664):       ... 3 more
E/ExoPlayerImplInternal(27664):   Caused by: java.lang.IllegalStateException
E/ExoPlayerImplInternal(27664):       at android.media.MediaCodec.native_dequeueInputBuffer(Native Method)
E/ExoPlayerImplInternal(27664):       at android.media.MediaCodec.dequeueInputBuffer(MediaCodec.java:2726)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.mediacodec.SynchronousMediaCodecAdapter.dequeueInputBufferIndex(SynchronousMediaCodecAdapter.java:101)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.feedInputBuffer(MediaCodecRenderer.java:1316)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.render(MediaCodecRenderer.java:875)
E/ExoPlayerImplInternal(27664):       ... 6 more
E/ExoPlayerImplInternal(27664): Disable failed.
E/ExoPlayerImplInternal(27664):   java.lang.IllegalStateException
E/ExoPlayerImplInternal(27664):       at android.media.MediaCodec.native_flush(Native Method)
E/ExoPlayerImplInternal(27664):       at android.media.MediaCodec.flush(MediaCodec.java:2194)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.mediacodec.SynchronousMediaCodecAdapter.flush(SynchronousMediaCodecAdapter.java:168)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.flushCodec(MediaCodecRenderer.java:960)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.flushOrReleaseCodec(MediaCodecRenderer.java:953)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.mediacodec.MediaCodecRenderer.onDisabled(MediaCodecRenderer.java:780)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.video.MediaCodecVideoRenderer.onDisabled(MediaCodecVideoRenderer.java:794)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.BaseRenderer.disable(BaseRenderer.java:220)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.ExoPlayerImplInternal.disableRenderer(ExoPlayerImplInternal.java:1846)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.ExoPlayerImplInternal.resetInternal(ExoPlayerImplInternal.java:1566)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.ExoPlayerImplInternal.stopInternal(ExoPlayerImplInternal.java:1523)
E/ExoPlayerImplInternal(27664):       at androidx.media3.exoplayer.ExoPlayerImplInternal.handleMessage(ExoPlayerImplInternal.java:686)
E/ExoPlayerImplInternal(27664):       at android.os.Handler.dispatchMessage(Handler.java:106)
E/ExoPlayerImplInternal(27664):       at android.os.Looper.loop(Looper.java:219)
E/ExoPlayerImplInternal(27664):       at android.os.HandlerThread.run(HandlerThread.java:67)",Not mentoring
@camsim99 this is strictly behind sensitive content part 1 landing but is serious enough to make a p1.,Not mentoring
Is there anyone who can find a temporary solution for this issue? This error is starting to have critical consequences for me.,Not mentoring
